"","group","filter","genes","logFC","logCPM","LR","PValue"
"11478",-1,"11478","MMP2",-2.13186012803265,6.13759338555676,15.822917093514,6.95549457578904e-05
"11490",1,"11490","MMP8",1.73093206426713,3.48290767625927,11.148045449831,0.00084120257945257
"11491",1,"11491","MMP9",1.91313469935565,9.52620792842757,12.6859939009539,0.000368404716313978
"11492",-1,"11492","MMRN1",-2.39838317507729,3.94709949619503,13.3066352666694,0.000264468533679651
"11683",1,"11683","MRPS27",1.98303308079415,3.22727462714788,12.4127524217194,0.000426411912468801
"11717",1,"11717","MSANTD4",2.39511546307404,3.4136458162393,17.4552715773143,2.94147463704512e-05
"11732",-1,"11732","MSN",-4.4074203927409,6.57389326774654,12.8616738676774,0.000335380468877828
"11748",1,"11748","MT1G",4.10699032425248,5.97886076880902,11.2589990039028,0.000792379292200351
"11782",1,"11782","MTHFD1L",2.05585782647934,2.65801133010783,13.0805347564861,0.00029838025975018
"11830",-1,"11830","MUC13",-1.91881198439409,2.12780549693048,12.2575374848354,0.000463382602624142
"11831",1,"11831","MUC15",2.24795580354818,3.30850652571675,13.135125585604,0.000289810848781853
"11839",1,"11839","MUC4",1.96577546838403,5.79208052737776,13.4322459883255,0.000247335815781245
"11841",-1,"11841","MUC5B",-1.8720831593936,2.05759069396017,12.1924689540506,0.000479828346689286
"11918",-1,"11918","MYLIP",-3.25872031365002,6.78300261712494,25.31862810497,4.85992543008138e-07
"12045",1,"12045","NAP1L4",2.44861916659312,3.59657129674718,17.966897430642,2.24780084694957e-05
"12117",1,"12117","NCKAP1",4.98007585465553,8.08800321600859,19.4669688544519,1.0235445569672e-05
"12124",-1,"12124","NCL",-2.42639827350951,6.71176125285423,18.8986199118357,1.37852360721636e-05
"12132",-1,"12132","NCOA7",-1.97575290840791,6.20897040977463,13.838823684139,0.000199177863135434
"12236",-1,"12236","NEIL1",-2.1909313900087,2.70980048258326,15.331869280544,9.0182237449427e-05
"12262",1,"12262","NEPRO",1.98380694464597,5.73205527376244,14.2609901602047,0.000159128880900239
"12275",1,"12275","NEURL3",1.89210562930291,4.1706688558252,11.2787370672922,0.000783998733488084
"12307",1,"12307","NFIX",1.91227098492007,2.48005966620736,12.3446405833328,0.000442254284487671
"12526",1,"12526","NPC1",1.90109785741647,5.77175862746918,12.7924863493266,0.00034801427730899
"12591",1,"12591","NR2F6",2.814553796927,3.16185533219226,20.3315764093758,6.51170472634805e-06
"12702",1,"12702","NUDC",3.64406254211105,6.44007645782915,17.7364754411378,2.53714801716038e-05
"12704",-1,"12704","NUDCD2",-1.81788877138683,4.40406130184182,10.7354850528134,0.00105100449616398
"12750",1,"12750","NUP43",2.98348516044304,5.5114832539694,21.7926481452182,3.03761861104301e-06
"12758",1,"12758","NUP88",2.17949156193591,4.70272517918879,16.3937703601363,5.14540614017288e-05
"12786",1,"12786","NXT2",1.82097389879833,4.75979389669074,11.2935714210166,0.000777759235543427
"12791",-1,"12791","OAF",-3.13203202678296,4.04231052394629,15.8112120524296,6.99865531140618e-05
"12806",-1,"12806","OBSL1",-2.71539863436645,4.35757680396865,11.5444218426031,0.000679528284917116
"12843",-1,"12843","OGN",-3.64826790571408,7.39742132132983,13.7776599409828,0.000205768584617416
"12853",-1,"12853","OLFM4",-2.52156544951272,5.17196897983716,18.7652799117636,1.47834107735417e-05
"12977",-1,"12977","OR7E104P",-1.94928991614571,2.05914135551838,12.7416050334295,0.00035761067437349
"13052",-1,"13052","OTUD7B",-1.9860113697472,3.6140834996881,11.0616480636529,0.000881317711080893
"13134",1,"13134","PAFAH1B2",4.02455362471831,6.77555197749382,16.2748839859551,5.47853321452481e-05
"13180",1,"13180","PAPLN",2.17759552403214,3.38381003476338,13.1130229599799,0.000293250113944662
"13182",-1,"13182","PAPOLA",-2.19875500407035,6.43163329069728,15.8769770690304,6.75960344584465e-05
"13192",1,"13192","PAQR5",2.73393818586316,3.33945405111473,18.790545593772,1.45888529460441e-05
"13284",-1,"13284","PCCB",-2.85016414972019,3.76709959433418,11.5722530173564,0.000669432571223545
"13292",-1,"13292","PCDH18",-2.71049353466033,7.67187215843258,11.8643121763227,0.000572198994294564
"13415",1,"13415","PDE4A",2.22410504263576,3.37733618428108,16.0166350345594,6.27883680749512e-05
"13456",-1,"13456","PDK4",-2.05199591947087,3.08255418766501,13.1982626098524,0.000280208762791573
"13458",-1,"13458","PDLIM2",-2.8370831051832,4.53670061941156,12.4254805550301,0.000423515546637106
"13461",-1,"13461","PDLIM5",-2.42922212300226,6.63791842138814,16.7358930382894,4.29604968453054e-05
"13470",-1,"13470","PDS5B",-2.03344261230113,3.74038978625989,11.0301203907137,0.000896433258379473
"13487",-1,"13487","PDZRN3",-3.17034990377835,6.13258180084299,26.0373426598671,3.34877069531117e-07
"13517",1,"13517","PERP",4.67858776324532,7.24316171346346,18.8109941967221,1.44332733320883e-05
"13586",-1,"13586","PGM5",-4.2207086932019,6.67805892778789,12.7295165725039,0.00035992956853349
"13591",-1,"13591","PGR",-4.40640307246254,6.76745099118044,13.5819892265527,0.000228366103409958
"13721",-1,"13721","PIK3CG",-2.0596310174672,3.00153113642859,11.9074264454358,0.000559105912101323
"13724",-1,"13724","PIK3R1",-2.50040941279774,7.05735737312467,10.7536601620705,0.00104073285029394
"13727",1,"13727","PIK3R4",1.77872218855583,4.25347135142704,11.4405983780052,0.000718566471084619
"13790",-1,"13790","PKHD1L1",-2.19020423871133,6.16616911911163,16.5148424797206,4.82707268268776e-05
"13855",-1,"13855","PLCE1",-2.07226506724443,3.62054967933177,12.3205504364822,0.00044799857351585
"13924",-1,"13924","PLN",-4.21891745218165,6.71255060305281,12.6781828553839,0.000369946926877423
"13980",-1,"13980","PMS1",-1.82437163389148,4.9796126769125,11.8412859593404,0.00057931805074974
"14166",1,"14166","PPFIA4",2.0907969357094,3.04334805219381,14.8528898501475,0.000116229852230822
"14227",1,"14227","PPP1R2",3.61264892668413,6.38522012178296,18.6611667002227,1.56130160308095e-05
"14247",1,"14247","PPP1R9B",1.95972685269318,2.19297093795337,12.8411342838321,0.000339082002675852
